rs_sv_chem_l;rs_sv_tronc_l
2174354;9781
2174439;9781
2173783;7394
2173418;4362
2173422;4362
2174149;3498
2173412;1447
2173414;1447
2174282;6837
2174243;2680
2174297;8508
2173743;3985
2173743;11286
2173805;3608
2173806;3608
2173633;2780
2173637;2780
2173645;3331
2173646;3331
2173647;3331
2173648;3331
2173649;3331
2173862;3905
2173560;2651
2173562;2651
2173563;2651
2173707;2651
2173797;1083
2173623;3319
2173637;3319
2173638;3319
2173619;489
2173650;489
2174045;489
2173803;3128
2173805;3459
2173905;6846
2174433;13926
2173617;2704
2174252;2704
2174251;8923
2174244;4203
2174384;4203
2173637;4780
2174391;4780
2174428;4780
2174430;4780
